gameid,gamename,gamehours
1826,The Slaughtering Grounds,3
1833,Star Ruler,3
1834,Artemis Spaceship Bridge Simulator,3
1838,Ironclad Tactics,3
1840,GUILTY GEAR Xrd -SIGN-,3
1841,Total Annihilation,3
1842,Jack Lumber,3
1843,Street Racing Syndicate,3
1846,Big Pharma,3
1847,Quest of Dungeons,3
1849,Jet Set Radio,3
1850,Joe Danger,3
1852,Jolly Rover,3
1853,Armada 2526,3
1857,Subspace Continuum,3
1861,Elven Legacy,3
1869,RUNNING WITH RIFLES,3
1870,Element4l,3
1871,CubeGun,3
1872,RPG Tycoon,3
1873,Intergalactic Bubbles,3
1875,Interplanetary,3
1877,RPG Maker 2003,3
1879,Shelter 2,3
1883,Anodyne,3
1884,Gunman Clive,3
1885,Seduce Me the Otome,3
1889,Secrets of Grindea,3
1891,The Adventures of Mr. Bobley,3
1892,Cradle,3
1893,Angels Fall First,3
1894,The Albino Hunter,3
1898,Hacker Evolution Duality,3
1901,Cosmonautica,3
1902,Teslagrad,3
1903,Terrorhedron,3
1904,Grimind,3
1910,Fiesta Online NA,3
1914,Ship Simulator Extremes,3
1915,Fieldrunners 2,3
1916,Fieldrunners,3
1917,Fingerbones,3
1919,Tank Universal,3
1920,Coin Crypt,3
1921,Guild of Dungeoneering,3
1923,Samorost 2,3
1924,Ampu-Tea,3
1927,Basement,3
1929,Sol Survivor,3
1931,Hero of the Kingdom,3
1934,Survivor Squad,3
1935,Solar Flux,3
1938,Evolution RTS,3
1940,Tales Runner,3
1941,Road Not Taken,3
1942,Soul Gambler,3
1944,Super Time Force Ultra,3
1945,Space Empires IV Deluxe,3
1947,Alpha Prime,3
1952,Simply Chess,3
1955,SUPER DISTRO,3
1958,Crazy Machines,3
1959,The Guild Gold Edition,3
1961,Gomo,3
1962,SNOW,3
1965,HeXen II,3
1968,Commando Jack,3
1970,Chaos Domain,3
1975,War of the Vikings,3
1978,Year Walk,3
1982,Major Mayhem,3
1983,Desktop Dungeons,3
1984,Dogfight 1942,3
1990,Neverending Nightmares,3
1992,War of the Human Tanks,3
1993,Platypus II,3
1994,Carpe Diem,3
1996,Zack Zero,3
1999,Pink Heaven,3
2000,Phoenix Force,3
2002,NOT A HERO,3
2003,Labyronia RPG,3
2004,Absolute Drift,3
2005,Delver,3
2006,Dementium II HD,3
2007,Daylight,3
2010,Layers of Fear,3
2011,Yury,3
2012,Democracy 2,3
2014,New kind of adventure,3
2017,Nightbanes,3
2018,Not The Robots,3
2022,One Manga Day,3
2024,Wildlife Park 3,3
2026,Cannons Lasers Rockets,3
2027,Booster Trooper,3
2028,Lucius II,3
2029,Cannon Brawl,3
2030,Offspring Fling!,3
2031,Dig or Die,3
2033,Wolfenstein 3D,3
2035,A New Beginning - Final Cut,3
2036,Call to Arms,3
2037,Lost Horizon,3
2039,Lords of the Black Sun,3
2041,Cargo Commander,3
2044,Wasteland Angel,3
2045,Break Into Zatwor,3
2047,Way of the Samurai 4,3
2048,Divine Divinity,3
2049,Nimbus,3
